Keyword,Category,Time Created,Title,Author,Content
AZ,FOOTBALL,2017-12-15 19:48:00,Cougars' double mission against PSG,Mohd Fitrie Muhamad,"['', '×', '', 'KUALA LUMPUR: The under-12, under-13 and under-14 teams from Akademi Mokhtar Dahari (AMD) Malaysia Cougars all progressed today to the knockout stage of the Supermokh Cup.', 'The Cougars under-12 team emerged as Group B winners after thrashing Qatar-based Aspire Academy 8-0 while Cougars’ under-13 and under-14 teams emerged runners-up in their respective groups.', ""The Cougars under-12 team will play Japan's Kashima Antlers in the semi-finals while Cougars' under-13 and under-14 teams will both play Paris Saint Germain (PSG) sides."", 'Cougars under-14 coach Ahmad Nurfaizal Abdullah said he was satisfied with his boys’ performance in their final group match today which saw them beating Gyeongnam FC 6-0.', 'Cougars are the defending champions in the under-14 category.', '""I am satisfied with their performance because they showed that they wanted it (victory),"" said Nurfaizal.', '""PSG may be a big name but I am confident that my players do not fear them, in fact they are determined to upset them.""', 'Results: Under-12:', 'Group A:', 'AMD Malaysia Panthers 5 FF South Australia 2', 'Sporting P 0 Kashima Antlers 0', 'Group B:', 'AMD Malaysia Cougars 8 Aspire Academy 0', 'HNK Hadjuk Split 1 JJ Football Academy 2', 'Under-13', 'Group A:', 'PSG 2 Buriram United 2', 'AMD Malaysia Panthers 1 Urawa Red Diamond 1', 'Group B:', 'AMD Malaysia Cougars 1 AZ Alkmaar 3', 'Gyeongnam FC 0 FF South Australia 2', 'Under 14', 'Group A', 'AMD Malaysia Panthers 4 Mito Hollyhock 1', 'PSG 0 Foolad Sepahan 0', 'Group B', 'AMD Malaysia Cougars 6 Gyeongnam FC 0', 'Arsenal 1 Aspire Academy 0', '', 'Translated from Berita Harian', '', '', '', 'DAP member lodges MACC report against four Penang party leaders', 'Govt has no plans to extend emergency, says Takiyuddin', '553,871 vaccine doses administered yesterday', '', '', '', '', '', '', '', '', '', '', '', '']"
AZ,FOOTBALL,2017-12-16 19:10:00,AMD Malaysia Cougars moment of glory,Mohd Fitrie Muhamad,"['', '×', '', 'BUKIT JALIL: Academy Mokhtar Dahari (AMD) did Malaysian football proud when all three of the academy’s age-group teams, AMD Malaysia Under-12, Under-13 and Under-14 advanced to the final of the SuperMokh Cup tomorrow.', 'In the Under-12 category, AMD Malaysia Cougars beat Japanese side Kashima Antlers 2-1, while AMD Malaysia Under-13 and Under-14 caused the biggest upset of the day when both teams beat the academy teams from famed French giants, Paris Saint-Germain (PSG).', 'The AMD Under-13 squad defeated PSG 4-2 via a penalty shootout after both teams were deadlocked at 1-1 after normal time whereas the Under-14 team under Ahmad Nurfaizal Abdullah won 1-0.', '', '', 'For the final tomorrow, the Under-12 defending champions, Portuguese side Sporting CP will be AMD’s opponents in the final while the Under-13 side will go against Dutch side AZ Alkmaar.', 'In Under-14 competition, Ahmad Nurfaizal’s charges face two different missions, one to avenge the 2-1 loss in the group stage and to realise their dream of defending the title.', '""Satidfied because the players played well according to plan which was to put pressure in the first half until we unsettle our opponents. In the second half, we forced them to send long balls and we managed to win the ball.', '""I will assess my players condition first. All teams play to win and we have the same goal (defend title). What’s important is our players improve while remaining consistent,” said Ahmad Nurfaizal.', '', '', 'Semi-final results', 'Under-12', 'Sporting CP 1-0 Aspire Academy', 'AMD Malaysia Cougars 2-1 Kashima Antlers', 'Under-13', 'PSG 1-1 AMD Malaysia Cougars', '*AMD Malaysia Cougar won on penalties 4-2', 'AZ Alkmaar 1-0 Buriram United', 'Under-14', 'PSG 0-1 AMD Malaysia Cougars', 'Arsenal 1-0 Foolad Sepahan', '', '', '', 'NSC to meet on Monday to review strategies to combat Covid-19', 'PM confident he has support of majority', '32 Barisan Nasional MPs pledge support for Muhyiddin', '', '', '', '', '', '']"
AZ,FOOTBALL,2017-12-17 20:44:00,AMD lose all three finals.,Fitrie Muhamad,"['', '×', '', 'BUKIT JALIL: AMD Malaysia Cougars failed to land a title in the SuperMokh Cup at the National Stadium on Sunday.', 'In the Under-14 category, defending champions AMD Malaysia Cougars lost 2-1 to Arsenal in the final.', 'Dutch side AZ Alkmaar also edged AMD Malaysia Cougars 2-1 in the Under-13 final while Portugal’s Sporting CP defeated the home side 2-0 for the Under-12 title.', 'Sports Minister Khairy Jamaluddin said: “Although, all three teams lost today, they showed tremendous fighting qualities.”', '“We now have four quality youth teams starting with Lim Teong Kim’s boys,” said Khairy.', 'Under-14 captain Ahmad Nurfaizal Abdullah said his team took things lightly against Arsenal.', '“This is a good lesson for the boys. I hope we can learn from the defeat and progress.', '“I had a selection issue today as some players were injured and ill. However, this is not an excuse,” said Nurfaizal.', '', '', '', 'NSC to meet on Monday to review strategies to combat Covid-19', 'PM confident he has support of majority', '32 Barisan Nasional MPs pledge support for Muhyiddin', '', '', '', '', '', '']"
AZ,NATION,2018-01-05 16:17:00,Flood victims get a royal visit,Isma Ismail,"['CHUKAI: Some 900 flood victims at the Sekolah Kebangsaan (SK) Bukit Mentok relief centre momentarily put aside worries of their flood predicament when members of the Terengganu royal family dropped by to visit them.', ""Many of the evacuees were excited and moved at the same time when Yang di-Pertuan Muda of Terengganu, Tengku Muhammad Ismail and his younger sibling Tengku Muhammad Mu'az visited them."", 'Wheelchair bound Osman Mamat, 76 was quite excited over the visit and could not sleep last night, when he found out that the Yang di-Pertuan Muda will be visiting the flood evacuees.', '“I never had the opportunity to meet the royal family before this. When I found out that the Yang di-Pertuan Muda was visiting us, I was quite excited.', '“His presence will somewhat ease our pain in facing the disaster,” he said.', 'Maziah Wok, 67, said this is the first time she was meeting a member of the royal family and was quite happy in meeting the Yang di-Pertuan Muda .', '“I had only seen him in the television and so was quite excited in meeting him,” she said.', '“I am also grateful to his royal highness for extending a contribution to the flood victims here,” she said.', 'Tengku Muhammad Ismail is also scheduled to visit the relief centres at Dewan Orang Ramai Batu 14; Felda Seberang Tayor and at Kampung Pulau Tempurung.', '', 'Translated from Berita Harian', '', '', '', 'NSC to meet on Monday to review strategies to combat Covid-19', 'PM confident he has support of majority', '32 Barisan Nasional MPs pledge support for Muhyiddin', '', '', '']"
AZ,NATION,2018-03-04 22:42:00,"Police announce transfers, promotions of 20 senior officers",Teoh Pei Ying,"['KUALA LUMPUR: Police today announced transfers and promotions involving 20 senior police officers nationwide.', ""Federal police's Corporate Communications head Datuk Asmawati Ahmad said the changes will take effect on Apr 9."", 'Leading the list is Narcotics Criminal Investigations Department director Datuk Seri Mohmad Salleh who will be promoted to VUYA 5 (JUSA A), by retaining his position.', ""Other promotions include Federal police's Internal Security and Public Order Department deputy director Datuk Abd Aziz Yusof, who will be promoted to a Commissioner of Police from Deputy Commissioner of Police (DCP). He will also retain his position."", ""Prime Minister's Department Protection Division director Datuk Azman Yusof will be transferred to Sarawak as the State Police Commissioner with the rank of Commissioner of Police."", ""Taking over his post is Federal police's Special Branch assistant director Datuk Yusoff Mohd Amin, who will be promoted to the rank of Deputy Commissioner of Police (DCP)."", ""Inspector-General of Police's Secretariat Office Organisation Management (Research and Development) chief Datuk Muhammad Az-Lee Abdullah will be promoted to the rank of DCP from Senior Assistant Commissioner of Police (SAC). He will also retain his position."", 'Also promoted to the rank of DCP by retaining his post is Malaysian Border Security Agency director-general Datuk Mohamad Ismail.', ""Serdang district police chief Assistant Commissioner Megat Mohamad Aminuddin Megat Alias will be Mohamad's deputy with the rank of SAC."", '', '', '', 'Police bust illicit cigarette trafficking syndicate in Tasek Gelugor', 'Another illicit cigarette trafficking syndicate busted in Penang', ""Muhyiddin's residence a hive of activity"", '', '', '', '', '', '', '', '', '']"
AZ,GROOVE,2018-03-17 10:42:00,"As an actress, versatility a must' [NSTTV]",Tahir Alhamzah,"['', '×', '', 'SANGEETA Krishnasamy says as an actress, she is uncomfortable to always be known as Cikgu Cheryl, her schoolteacher character in feature drama Adiwira-ku.', '“As an actress, versatility is a must. I need to shake off the Cikgu Cheryl character since I will be playing other characters in television dramas and films.”', 'Sangeeta, 32, burst onto the entertainment scene after clinching the Best Actress Award at the 29th Malaysian Film Festival for her role as Cikgu Cheryl Ann Fernando. She beat fellow nominees Izara Aishah, Sharifah Amani, June Lojong and Yeoh Yann Yann.', '“It is difficult to play other characters if people see Cikgu Cheryl in my future roles,” she said at the set of her new film, Proksi, in Ku-ala Lumpur recently.', 'In Proksi, a cybertech action thriller produced by FEG, Sangeeta plays Elle, a cybersecurity officer assigned to track down two hackers — Aman (played by Ash-raf Sinclair) and Sam (Bront Pala-rae) — who could lead her to nab the real culprit, who is a national threat.', 'It is directed by Zulkarnain Az-har (who directed last year’s action movie J Revolusi). Others in the cast include Datuk Rosyam Nor, Faizal Hussein, Remy Ishak and Siti Saleha.', '“Elle is a mercenary, so you can imagine how different she is from Cikgu Cheryl,” Sangeeta said, admitting that it was satisfying to take on the challenges in playing the role.', '“It was exhilarating to act alongside experienced actors like Rosyam and Faizal.', '“And to have Bront as a sparring partner lifts the whole acting experience to another level.”', '', '', '', 'NSC to meet on Monday to review strategies to combat Covid-19', 'PM confident he has support of majority', '32 Barisan Nasional MPs pledge support for Muhyiddin', '', '', '', '', '', '']"
AZ,GROOVE,2018-03-21 13:40:00,#Showbiz: New mom Siti feels like she's dreaming,Tahir Alhamzah,"['', '×', '', 'KUALA LUMPUR: Despite being a mother for real now, the country’s No. 1 singer Datuk Seri Siti Nurhaliza Tarudin still feels like she’s in a dream after recently giving birth to a baby girl.', 'Her sentiment is understandable since she had to wait close to 12 years for this momemt after marrying Datuk Seri Khalid Mohamad Jiwa in 2006.', 'Her manager and sister-in-law Rozi Abdul Razak told BH Online that the 39-year-old first-time mother looked extremely happy when she first laid eyes on the baby girl whose temporary nickname is Fatimah Az-Zahra.', '“Although a little awkward, Siti felt happy when she first breastfed her daughter,” Rozi said.', '', '', 'She added that the nurses at the medical centre where Siti delivered her baby and is currently being treated also helped both mother and daughter a lot to make them comfortable.', '“Siti will be at the ward for another three or four days as she still needs her doctor’s supervision,” said Rozi who added that the singer will take about three months off as her “maternity leave”.', 'Siti delivered a baby girl, who weighed 3.55kg, on Monday morning via Caeserean section.', '', 'A post shared by Siti Nurhaliza Tarudin (@ctdk) on Mar 19, 2018 at 9:42pm PDT', '', '', '', 'NSC to meet on Monday to review strategies to combat Covid-19', 'PM confident he has support of majority', '32 Barisan Nasional MPs pledge support for Muhyiddin', '', '', '', '', '', '']"
AZ,GROOVE,2018-03-22 12:05:00,#Showbiz: Heart-warming pic of a grateful Siti with her 'little princess',Aref Omar,"['', '×', '', ""KUALA LUMPUR: Malaysia's top singer Datuk Seri Siti Nurhaliza sure feels the love, what with the numerous congratulatory messages from fans on the safe delivery of her baby girl, nicknamed Fatimah Az-Zahra, three days ago."", 'Well-wishers are still apparently sending over gifts till today for the Comel Pipi Merah singer and her little princess.', 'Feeling really grateful for all of the encouraging gestures, Siti, 39, had posted a lovely picture of herself cuddling her precious tiny tot yesterday on her Instagram account.', 'Representing herself, husband Datuk Seri Khalid Mohamad Jiwa, 59, and her firstborn, Siti expressed her sincere gratitude and thanks to everyone who had showered her with positivity in the accompanying caption.', 'She wrote: ""My husband and I as well as our baby girl would like to say thank you to everyone from wherever you are, Malaysia, Indonesia, Singapore, Brunei and elsewhere, who have graciously congratulated us and prayed for us.""', 'Siti added: ""To our artiste friends as well, thank you so much for your well wishes and thoughts. Praise God, my precious baby and I are both well. Our doctor and nurses have taken good care of us. Thank you also to everyone who\'ve been sending us presents till today.""', 'She ended the post, which had garnered over 484,000 likes so far, with: ""For now, my doctor has only advised me to get some good rest.""', ""Siti had also uploaded a 27-second video earlier to share with fans her baby's first onesie, mittens and cap."", 'Although the baby was not in frame she was heard crying offscreen to which Siti quipped that the little one was ""in the midst of her vocal training."" The short clip had already racked up more than 1.6 million views.', 'The award-winning singer gave birth to her first child, weighing 3.55kg and via Caesarean section, at a private hospital here at 8.17am on Monday.', '', '', '', 'Housewife opens small food bank in front of Putatan house', 'Housewife opens small food bank in front of Putatan house', ""'Hello Kitty Makcik' raises white flag for self and red flag for cats"", '', '', '', '', '', '', '', '', '', '', '', '']"
AZ,GROOVE,2018-03-25 22:36:00,"#Showbiz: The wait is over, Siti Nurhaliza's baby girl named Siti Aafiyah [NSTTV]",Aref Omar,"['', '×', '', 'KUALA LUMPUR: A week after giving birth to her first child, Malaysia’s top singer Datuk Seri Siti Nurhaliza officially announced her baby girl’s name as Siti Aafiyah Khalid Mohamad Jiwa tonight.', 'Her firstborn, with husband Datuk Seri Khalid Mohamad Jiwa, was, before this, known only by the nickname Fatimah Az-Zahra.', 'A YouTube live session on her Siti Official Video channel, which started broadcasting after 9pm, featured the Islamic maulid nabi, aqiqah and tahnik rituals of remembrance and thanksgiving, held at Siti’s home that was attended by family members, relatives and close friends. Also in attendance was the Mufti of the Federal Territories, Datuk Dr Zulkifli Mohamad Al-Bakri.', '', '', 'During a speech in the live session, which was watched by more than 33,000 viewers, Siti said that she felt extremely grateful and blessed to finally be given the opportunity to experience motherhood after almost 12 years.', 'She added that the chosen name came from her husband who was in Mecca at the time.', 'As promised, the 39-year-old artiste had initially shared a cute picture of her “little princess” on her Instagram account earlier in this evening.', 'Her post was also to inform fans of the live session where she would officially announce the name of her baby girl she had delivered on Monday via Caesarean section in a private hospital here.', 'She wrote: “My husband and I would like to introduce our beloved child to all who have waited patiently for this moment. She is our heart-melting gift from God who has made our lives complete.”', '“We wish to thank everyone who had been praying for us all this while and only God can effectively repay you all for your kindness,” she added in the post that had already garnered close to 400,000 likes an hour after it was uploaded.', 'On another earlier post that had already accumulated over a million views, Siti shared a short video of her beloved baby girl accompanied by her new song, specially written for the happy occasion, Comel Pipi Merah.', 'Congratulations to Siti and family!', '', '', '', 'Shall we wait for 1,000 daily deaths before we get serious?, Dr M asks govt', 'Bureaucracy slowing down vaccination process, says Saifuddin Nasution', 'Even Ultraseven needs his Covid-19 vaccine shot', '', '', '', '', '', '', '', '', '', '', '', '']"
AZ,GROOVE,2018-03-26 12:53:00,#Showbiz: 'I lost lots of blood' – Siti Nurhaliza on baby delivery,Aref Omar,"['', '×', '', 'KUALA LUMPUR: When it came to giving birth and becoming a mother, singer extraordinary Datuk Seri Siti Nurhaliza was just like any other person and had to undergo some challenges.', 'Although she safely delivered her firstborn seven days ago, the 39-year-old songstress recalled an alarming incident during her C-section operation where she encountered a complication due to considerable blood loss.', 'Thankfully, through the skillful handling of her doctor and medical personnel at a private hospital here where she received the treatment, Siti’s condition had stabilised considerably.', 'Speaking at a thanksgiving event at her home in Bukit Antarabangsa last night, she said: “Every mother has a different experience of giving birth to a child. I had some complications after losing lots of blood which was caused by certain factors. But thank God, my doctor was quick to replace my lost blood which in turn returned me to my normal condition.”', 'Siti added that she was then placed in the maternity ward for a day of observation before the doctor gave the go-ahead for her to be transferred to the regular ward.', 'The singer of the cute new single, Comel Pipi Merah, said that although the incision on her belly from the operation was still quite raw, she had to muster the strength to endure the pain for the sake of her beloved baby girl.', '“I could start walking slowly after the third day and told myself to be strong. I didn’t want to ‘manja’ myself too much. As women, we go through these situations as an experiential process. But as soon as I saw her face, my pain immediately went away,” said Siti during the event last night, which was available for viewing live on her Siti Official Video channel on YouTube.', 'Siti, who had finally delivered her first baby after close to 12 years of trying with husband Datuk Seri Khalid Mohamad Jiwa, also officially announced the name of her little princess during the 80-minute live session.', 'Prior to this, her baby girl was nicknamed Fatimah Az-Zahra after the daughter of the Prophet Muhammad.', 'The award-winning artiste had decided on calling her beloved baby Siti Aafiyah and explained that the name Aafiyah was chosen for its beautiful and deep meaning, in addition to being a word commonly recited in prayers.', 'At this time, the renowned singer is undergoing her confinement period and will only return to her career commitments by year end.', '', '', '', '', '', 'NSC to meet on Monday to review strategies to combat Covid-19', 'PM confident he has support of majority', '32 Barisan Nasional MPs pledge support for Muhyiddin', '', '', '', '', '', '']"
